dataset,model,time,LR,batch_size,best_last_RMSE,best_overall_RMSE,score,windowsize,d_model,dropout,kernal_size,kernal_stride,train,total_params,train_average_time,test_average_time,savepath,resume,resumepath,info
FD003,DA_LSTM,20251114-162651,1e-05,32,17.64389428434807,17.64389428434807,1805.5076390767344,50,64,0.1,3,1,True,3550,14.633610620498658,0.03541970252990723,./logs/FD003/DA_LSTM/exp6,False,,DA_LSTM baseline 
FD003,DA_LSTM,20251114-170744,1e-06,32,38.32726662622876,38.32726662622876,10771.735453461743,50,64,0.1,3,1,True,3550,14.947416555086772,0.057795047760009766,./logs/FD003/DA_LSTM/exp7,False,,DA_LSTM baseline 
FD003,DA_LSTM,20251114-172004,0.0001,32,13.352852960047919,13.352852960047919,783.215519123403,60,64,0.1,3,1,True,3550,14.612559180789523,0.037001609802246094,./logs/FD003/DA_LSTM/exp8,False,,DA_LSTM baseline 
FD003,DA_LSTM,20251114-180022,5e-05,32,13.166156837383474,13.166156837383474,804.7682063432638,60,64,0.1,3,1,True,3550,14.754075555801391,0.03486919403076172,./logs/FD003/DA_LSTM/exp9,False,,DA_LSTM baseline 
FD003,DA_LSTM,20251114-184008,1e-05,32,16.563257863264585,16.563257863264585,1452.4226760842544,60,64,0.1,3,1,True,3550,14.526776480674744,0.033721923828125,./logs/FD003/DA_LSTM/exp10,False,,DA_LSTM baseline 
FD003,DA_LSTM,20251114-191958,1e-06,32,38.4703331581719,38.4703331581719,6760.328226378432,60,64,0.1,3,1,True,3550,14.555345374743144,0.033918142318725586,./logs/FD003/DA_LSTM/exp11,False,,DA_LSTM baseline 
FD004,DA_LSTM,20251114-202014,0.0001,32,13.623630133179027,13.623630133179027,992.8608934697079,40,64,0.1,3,1,True,3550,38.391475350357766,0.06458449363708496,./logs/FD004/DA_LSTM/exp0,False,,DA_LSTM baseline 
FD004,DA_LSTM,20251114-215332,5e-05,32,13.944317604630434,13.944317604630434,1061.5052454281752,40,64,0.1,3,1,True,3550,37.47278353419617,0.0646204948425293,./logs/FD004/DA_LSTM/exp1,False,,DA_LSTM baseline 
FD004,DA_LSTM,20251114-233615,1e-05,32,17.306849639109668,17.306849639109668,3397.428430245643,40,64,0.1,3,1,True,3550,37.72952442804972,0.11918187141418457,./logs/FD004/DA_LSTM/exp2,False,,DA_LSTM baseline 
FD004,DA_LSTM,20251115-011511,1e-06,32,23.462754277019663,23.462754277019663,7452.720310170499,40,64,0.1,3,1,True,3550,36.26134107907613,0.06238293647766113,./logs/FD004/DA_LSTM/exp3,False,,DA_LSTM baseline 
FD004,DA_LSTM,20251115-015846,0.0001,32,13.210617802354497,13.210617802354497,981.2364613406207,50,64,0.1,3,1,True,3550,33.02319745222727,0.0619659423828125,./logs/FD004/DA_LSTM/exp4,False,,DA_LSTM baseline 
FD004,DA_LSTM,20251115-033018,5e-05,32,13.413581287883398,13.413581287883398,991.7434168157895,50,64,0.1,3,1,True,3550,33.67626707235972,0.06330537796020508,./logs/FD004/DA_LSTM/exp5,False,,DA_LSTM baseline 
FD004,DA_LSTM,20251115-050210,1e-05,32,15.273106893945195,15.273106893945195,1300.8314978530157,50,64,0.1,3,1,True,3550,33.815456385612485,0.06479048728942871,./logs/FD004/DA_LSTM/exp6,False,,DA_LSTM baseline 
FD004,DA_LSTM,20251115-063431,1e-06,32,23.15459491033279,23.15459491033279,6319.713188510766,50,64,0.1,3,1,True,3550,34.04546444733938,0.06391501426696777,./logs/FD004/DA_LSTM/exp7,False,,DA_LSTM baseline 
FD004,DA_LSTM,20251115-071024,0.0001,32,13.049910672310569,13.049910672310569,932.3756822622048,60,64,0.1,3,1,True,3550,33.13002042447106,0.06674647331237793,./logs/FD004/DA_LSTM/exp8,False,,DA_LSTM baseline 
FD004,DA_LSTM,20251115-082737,5e-05,32,13.025968591540872,13.025968591540872,979.5046118371052,60,64,0.1,3,1,True,3550,32.72624188019679,0.06930780410766602,./logs/FD004/DA_LSTM/exp9,False,,DA_LSTM baseline 
FD004,DA_LSTM,20251115-095731,1e-05,32,14.288609982166587,14.288609982166587,1052.4904198288414,60,64,0.1,3,1,True,3550,33.09654630978902,0.07200026512145996,./logs/FD004/DA_LSTM/exp10,False,,DA_LSTM baseline 
FD004,DA_LSTM,20251115-112614,1e-06,32,23.063444568039305,23.063444568039305,5768.077389407696,60,64,0.1,3,1,True,3550,32.62784917195638,0.06426858901977539,./logs/FD004/DA_LSTM/exp11,False,,DA_LSTM baseline 
DS01,DA_LSTM,20251115-113345,0.0001,32,8.39401483667965,8.39401483667965,1.2208713748169813,40,64,0.1,3,1,True,4846,8.366858774301956,2.067018747329712,./logs/DS01/DA_LSTM/exp1,False,,DA_LSTM baseline
DS01,DA_LSTM,20251115-114459,5e-05,32,8.315868631986257,8.315868631986257,1.1878409028185728,40,64,0.1,3,1,True,4846,8.433724835112288,2.0572915077209473,./logs/DS01/DA_LSTM/exp2,False,,DA_LSTM baseline
DS01,DA_LSTM,20251115-114904,1e-05,32,24.33853642727581,24.33853642727581,11.471015028405184,40,64,0.1,3,1,True,4846,8.203678928888761,2.002638578414917,./logs/DS01/DA_LSTM/exp3,False,,DA_LSTM baseline
DS01,DA_LSTM,20251115-121120,1e-06,32,38.30677088509754,38.30677088509754,36.317132184415726,40,64,0.1,3,1,True,4846,8.37834494749705,1.9480412006378174,./logs/DS01/DA_LSTM/exp4,False,,DA_LSTM baseline
DS01,DA_LSTM,20251115-121938,0.0001,32,7.798605739525932,7.798605739525932,1.0718699364875146,50,64,0.1,3,1,True,4846,8.567278587593222,1.9926798343658447,./logs/DS01/DA_LSTM/exp5,False,,DA_LSTM baseline
DS01,DA_LSTM,20251115-123151,5e-05,32,7.6828406327156085,7.6828406327156085,0.9465976129019094,50,64,0.1,3,1,True,4846,8.571409856216818,2.1500704288482666,./logs/DS01/DA_LSTM/exp6,False,,DA_LSTM baseline
DS01,DA_LSTM,20251115-123603,1e-05,32,24.32937121834813,24.32937121834813,11.447975334141011,50,64,0.1,3,1,True,4846,8.414646304570711,2.0782992839813232,./logs/DS01/DA_LSTM/exp7,False,,DA_LSTM baseline
DS01,DA_LSTM,20251115-125851,1e-06,32,38.25928176764592,38.25928176764592,36.146415945955646,50,64,0.1,3,1,True,4846,8.592477564811707,2.126866340637207,./logs/DS01/DA_LSTM/exp8,False,,DA_LSTM baseline
DS01,DA_LSTM,20251115-130631,0.0001,32,7.8880334180786456,7.8880334180786456,1.0958154782659144,60,64,0.1,3,1,True,4846,9.059889974801436,2.061998128890991,./logs/DS01/DA_LSTM/exp9,False,,DA_LSTM baseline
DS01,DA_LSTM,20251115-131805,5e-05,32,8.289089966539258,8.289089966539258,1.2196756058153015,60,64,0.1,3,1,True,4846,8.77195059763242,2.0083706378936768,./logs/DS01/DA_LSTM/exp10,False,,DA_LSTM baseline
